40;02_COLUMNAS;[dbo].[sysdiagrams].[definition];"column_id=5; type=varbinary(MAX); nullable=SI; identity=NO"
41;02_COLUMNAS;[dbo].[WF_Definicion].[Id];"column_id=1; type=int; nullable=NO; identity=SI"
42;02_COLUMNAS;[dbo].[WF_Definicion].[Codigo];"column_id=2; type=nvarchar(50); nullable=NO; identity=NO"
43;02_COLUMNAS;[dbo].[WF_Definicion].[Nombre];"column_id=3; type=nvarchar(200); nullable=NO; identity=NO"
44;02_COLUMNAS;[dbo].[WF_Definicion].[Version];"column_id=4; type=int; nullable=NO; identity=NO; default=((1))"
45;02_COLUMNAS;[dbo].[WF_Definicion].[JsonDef];"column_id=5; type=nvarchar(MAX); nullable=NO; identity=NO"
46;02_COLUMNAS;[dbo].[WF_Definicion].[Activo];"column_id=6; type=bit; nullable=NO; identity=NO; default=((1))"
47;02_COLUMNAS;[dbo].[WF_Definicion].[FechaCreacion];"column_id=7; type=datetime; nullable=NO; identity=NO; default=(getdate())"
48;02_COLUMNAS;[dbo].[WF_Definicion].[CreadoPor];"column_id=8; type=nvarchar(100); nullable=SI; identity=NO"
49;02_COLUMNAS;[dbo].[WF_Definicion].[Key];"column_id=9; type=nvarchar(80); nullable=SI; identity=NO"
50;02_COLUMNAS;[dbo].[WF_Demo_Log].[Id];"column_id=1; type=int; nullable=NO; identity=SI"
51;02_COLUMNAS;[dbo].[WF_Demo_Log].[InstanceId];"column_id=2; type=int; nullable=NO; identity=NO"
52;02_COLUMNAS;[dbo].[WF_Demo_Log].[DocTipo];"column_id=3; type=nvarchar(50); nullable=SI; identity=NO"
53;02_COLUMNAS;[dbo].[WF_Demo_Log].[FileName];"column_id=4; type=nvarchar(255); nullable=SI; identity=NO"
54;02_COLUMNAS;[dbo].[WF_Demo_Log].[Fecha];"column_id=5; type=datetime; nullable=NO; identity=NO; default=(getdate())"
55;02_COLUMNAS;[dbo].[WF_DocTipo].[DocTipoId];"column_id=1; type=int; nullable=NO; identity=SI"
56;02_COLUMNAS;[dbo].[WF_DocTipo].[Codigo];"column_id=2; type=nvarchar(50); nullable=NO; identity=NO"
57;02_COLUMNAS;[dbo].[WF_DocTipo].[Nombre];"column_id=3; type=nvarchar(200); nullable=NO; identity=NO"
58;02_COLUMNAS;[dbo].[WF_DocTipo].[ContextPrefix];"column_id=4; type=nvarchar(30); nullable=NO; identity=NO"
59;02_COLUMNAS;[dbo].[WF_DocTipo].[PlantillaPath];"column_id=5; type=nvarchar(500); nullable=SI; identity=NO"
60;02_COLUMNAS;[dbo].[WF_DocTipo].[RutaBase];"column_id=6; type=nvarchar(500); nullable=SI; identity=NO"
61;02_COLUMNAS;[dbo].[WF_DocTipo].[EsActivo];"column_id=7; type=bit; nullable=NO; identity=NO; default=((1))"
62;02_COLUMNAS;[dbo].[WF_DocTipo].[CreatedAt];"column_id=8; type=datetime2; nullable=NO; identity=NO; default=(sysutcdatetime())"
63;02_COLUMNAS;[dbo].[WF_DocTipo].[UpdatedAt];"column_id=9; type=datetime2; nullable=SI; identity=NO"
64;02_COLUMNAS;[dbo].[WF_DocTipo].[RulesJson];"column_id=10; type=nvarchar(MAX); nullable=SI; identity=NO"
